participant_id	apm_corr	apm_incorr	apm_RT
sub-pp004	0.0	1.0	4390.0
sub-pp004	0.0	1.0	3057.800000000745
sub-pp004	0.0	1.0	1853.2999999998133
sub-pp004	0.0	1.0	1751.4000000003723
sub-pp004	0.0	1.0	1655.5
sub-pp004	0.0	1.0	2011.7000000001865
sub-pp004	1.0	0.0	1554.5999999996277
sub-pp004	0.0	1.0	2014.699999999255
sub-pp004	0.0	1.0	2528.2000000001863
sub-pp004	0.0	1.0	2534.2999999998137
sub-pp004	1.0	0.0	2258.5
sub-pp004	0.0	1.0	1529.0
sub-pp004	0.0	1.0	1543.2000000001865
sub-pp004	0.0	1.0	1187.5
sub-pp004	1.0	0.0	1225.0999999996277
sub-pp004	0.0	1.0	6382.9000000003725
sub-pp004	0.0	1.0	1662.7999999998135
sub-pp004	0.0	1.0	1561.5
sub-pp004	1.0	0.0	1172.8999999994412
sub-pp004	0.0	1.0	1649.2999999998135
sub-pp004	0.0	1.0	1382.1000000005588
sub-pp004	0.0	1.0	1293.7000000001865
sub-pp004	0.0	1.0	1363.5
