amma_corr	participant_id	amma_response
0.0	sub-pp004	I
1.0	sub-pp004	I
1.0	sub-pp004	R
0.0	sub-pp004	M
0.0	sub-pp004	I
1.0	sub-pp004	I
0.0	sub-pp004	I
0.0	sub-pp004	Je ne sais pas
1.0	sub-pp004	I
0.0	sub-pp004	M
1.0	sub-pp004	M
1.0	sub-pp004	M
1.0	sub-pp004	I
0.0	sub-pp004	R
0.0	sub-pp004	M
0.0	sub-pp004	I
1.0	sub-pp004	R
0.0	sub-pp004	M
1.0	sub-pp004	M
1.0	sub-pp004	I
0.0	sub-pp004	Je ne sais pas
1.0	sub-pp004	I
1.0	sub-pp004	M
0.0	sub-pp004	R
0.0	sub-pp004	Je ne sais pas
0.0	sub-pp004	M
0.0	sub-pp004	R
0.0	sub-pp004	I
0.0	sub-pp004	R
0.0	sub-pp004	I
