participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp004	1.0	0.0	1466.3999999999069	97
sub-pp004	1.0	0.0	1505.6999999999534	63
sub-pp004	1.0	0.0	2809.3000000000466	582
sub-pp004	1.0	0.0	2341.699999999953	694
sub-pp004	1.0	0.0	2933.600000000093	7285
sub-pp004	1.0	0.0	2991.699999999953	6439
sub-pp004	1.0	0.0	3658.300000000047	42731
sub-pp004	1.0	0.0	3851.0	75836
sub-pp004	1.0	0.0	4974.90000000014	392487
sub-pp004	1.0	0.0	3962.300000000047	619473
sub-pp004	1.0	0.0	5587.0	4179386
sub-pp004	0.0	1.0	6721.0	69714328
sub-pp004	0.0	1.0	5413.099999999628	43298764
sub-pp004	0.0	1.0	7829.299999999814	634167
