participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp004	1.0	0.0	1485.0	13
sub-pp004	1.0	0.0	1298.7000000001865	42
sub-pp004	1.0	0.0	1436.0	64
sub-pp004	1.0	0.0	2011.7000000001865	75
sub-pp004	1.0	0.0	3580.600000000093	926
sub-pp004	1.0	0.0	4671.599999999628	574
sub-pp004	1.0	0.0	15708.700000000186	9728
sub-pp004	1.0	0.0	10848.399999999909	8694
sub-pp004	1.0	0.0	11775.0	34856
sub-pp004	1.0	0.0	18284.899999999907	68451
sub-pp004	0.0	1.0	13998.899999999909	168435
sub-pp004	0.0	1.0	12990.399999999909	65478
