participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp004	1.0	0.0	5925.899999999441
sub-pp004	1.0	0.0	6612.9000000003725
sub-pp004	0.0	1.0	3118.7999999998137
sub-pp004	1.0	0.0	2364.4000000003725
sub-pp004	1.0	0.0	5386.300000000745
sub-pp004	1.0	0.0	2063.899999999441
sub-pp004	0.0	1.0	3559.9000000003725
sub-pp004	0.0	1.0	2279.199999999255
sub-pp004	1.0	0.0	1797.6000000005588
sub-pp004	0.0	1.0	3909.300000000745
sub-pp004	0.0	1.0	6532.700000000186
sub-pp004	0.0	1.0	2809.899999999441
sub-pp004	1.0	0.0	4480.700000000186
sub-pp004	0.0	1.0	1505.7999999998135
sub-pp004	1.0	0.0	3184.4000000003725
sub-pp004	0.0	1.0	2844.100000000559
sub-pp004	1.0	0.0	4651.199999999255
sub-pp004	0.0	1.0	1629.7000000001865
sub-pp004	0.0	1.0	2396.600000000559
sub-pp004	0.0	1.0	2108.399999999441
sub-pp004	1.0	0.0	6370.0
sub-pp004	0.0	1.0	5313.9000000003725
sub-pp004	0.0	1.0	1526.5
sub-pp004	1.0	0.0	2533.100000000559
