participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp009	1.0	0.0	2814.60000000149
sub-pp009	1.0	0.0	1700.0
sub-pp009	1.0	0.0	7070.199999999255
sub-pp009	1.0	0.0	1439.699999999255
sub-pp009	1.0	0.0	2761.0
sub-pp009	1.0	0.0	2079.699999999255
sub-pp009	1.0	0.0	1356.60000000149
sub-pp009	0.0	1.0	5097.89999999851
sub-pp009	1.0	0.0	1808.099999999628
sub-pp009	0.0	1.0	6196.9000000003725
sub-pp009	1.0	0.0	1560.7999999988824
sub-pp009	0.0	1.0	6996.10000000149
sub-pp009	1.0	0.0	2782.5
sub-pp009	0.0	1.0	1688.60000000149
sub-pp009	1.0	0.0	5419.9000000003725
sub-pp009	0.0	1.0	7684.799999998882
sub-pp009	0.0	1.0	5825.199999999255
sub-pp009	1.0	0.0	2332.5
sub-pp009	1.0	0.0	3839.699999999255
sub-pp009	0.0	1.0	2942.5999999996275
sub-pp009	1.0	0.0	3976.099999999628
sub-pp009	1.0	0.0	1028.0999999996277
sub-pp009	0.0	1.0	5628.699999999255
sub-pp009	1.0	0.0	3780.300000000745
