participant_id	apm_corr	apm_incorr	apm_RT
sub-pp009	1.0	0.0	22570.0
sub-pp009	1.0	0.0	15482.099999999627
sub-pp009	1.0	0.0	19915.299999999814
sub-pp009	1.0	0.0	15626.400000000373
sub-pp009	1.0	0.0	28165.19999999925
sub-pp009	0.0	1.0	24937.400000000373
sub-pp009	1.0	0.0	14308.599999999627
sub-pp009	0.0	1.0	24972.099999999627
sub-pp009	0.0	1.0	32093.299999999814
sub-pp009	0.0	1.0	21989.10000000056
sub-pp009	0.0	1.0	24691.900000000373
sub-pp009	0.0	1.0	21055.200000000183
sub-pp009	0.0	1.0	21480.799999999814
sub-pp009	0.0	1.0	22909.900000000373
sub-pp009	0.0	1.0	30701.599999999627
sub-pp009	0.0	1.0	44577.09999999963
sub-pp009	0.0	1.0	33777.5
sub-pp009	0.0	1.0	21605.0
sub-pp009	0.0	1.0	27027.39999999944
sub-pp009	0.0	1.0	17962.300000000745
sub-pp009	0.0	1.0	37619.5
sub-pp009	0.0	1.0	19840.700000000183
sub-pp009	0.0	1.0	40904.59999999963
