participant_id	rtt-sum_corr	rtt-sum_incorr	rtt-sum_RT
sub-pp009	1.0	0.0	1814.80000000028
sub-pp009	1.0	0.0	1486.1000000000931
sub-pp009	1.0	0.0	1182.5999999996277
sub-pp009	1.0	0.0	1969.600000000093
sub-pp009	1.0	0.0	1975.7000000001865
sub-pp009	1.0	0.0	2154.1999999997206
sub-pp009	1.0	0.0	1548.8999999999069
sub-pp009	1.0	0.0	2667.7000000001863
sub-pp009	1.0	0.0	5868.600000000093
sub-pp009	1.0	0.0	14260.0
sub-pp009	1.0	0.0	1306.6000000000931
sub-pp009	1.0	0.0	1299.8999999999069
sub-pp009	1.0	0.0	1486.2000000001865
sub-pp009	1.0	0.0	1406.0
sub-pp009	1.0	0.0	1604.5
sub-pp009	1.0	0.0	2063.100000000093
sub-pp009	1.0	0.0	2405.0
sub-pp009	1.0	0.0	1921.7000000001865
sub-pp009	1.0	0.0	1992.0
sub-pp009	1.0	0.0	2798.5
sub-pp009	1.0	0.0	2062.0
sub-pp009	1.0	0.0	2497.7000000001863
sub-pp009	1.0	0.0	2768.600000000093
sub-pp009	1.0	0.0	2281.0999999996275
sub-pp009	1.0	0.0	2361.899999999907
sub-pp009	1.0	0.0	2755.5
sub-pp009	1.0	0.0	3286.100000000093
sub-pp009	1.0	0.0	1651.8999999999069
sub-pp009	1.0	0.0	4301.099999999628
sub-pp009	1.0	0.0	2475.600000000093
sub-pp009	1.0	0.0	4363.0
sub-pp009	1.0	0.0	7773.5
