participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp009	1.0	0.0	1719.0999999996277	13
sub-pp009	1.0	0.0	2651.7999999988824	42
sub-pp009	1.0	0.0	2235.0999999996275	64
sub-pp009	1.0	0.0	1642.60000000149	75
sub-pp009	1.0	0.0	6023.099999999628	926
sub-pp009	1.0	0.0	12548.200000001118	574
sub-pp009	1.0	0.0	8970.900000000373	9728
sub-pp009	1.0	0.0	8908.400000000373	8694
sub-pp009	0.0	1.0	16327.200000001118	35946
sub-pp009	0.0	1.0	6172.700000001118	68154
