participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp009	1.0	0.0	67.0	dominant1
sub-pp009	2.0	0.0	238.0	dominant1
sub-pp009	3.0	0.0	407.0	dominant1
sub-pp009	4.0	0.0	568.0	dominant1
sub-pp009	5.0	0.0	738.0	dominant1
sub-pp009	6.0	0.0	906.0	dominant1
sub-pp009	7.0	0.0	1082.0	dominant1
sub-pp009	8.0	0.0	1253.0	dominant1
sub-pp009	9.0	0.0	1433.0	dominant1
sub-pp009	10.0	0.0	1607.0	dominant1
sub-pp009	11.0	0.0	1778.0	dominant1
sub-pp009	12.0	0.0	1933.0	dominant1
sub-pp009	13.0	0.0	2110.0	dominant1
sub-pp009	14.0	0.0	2280.0	dominant1
sub-pp009	15.0	0.0	2440.0	dominant1
sub-pp009	16.0	0.0	2620.0	dominant1
sub-pp009	17.0	0.0	2789.0	dominant1
sub-pp009	18.0	0.0	2958.0	dominant1
sub-pp009	19.0	0.0	3127.0	dominant1
sub-pp009	20.0	0.0	3293.0	dominant1
sub-pp009	21.0	0.0	3464.0	dominant1
sub-pp009	22.0	0.0	3642.0	dominant1
sub-pp009	23.0	0.0	3812.0	dominant1
sub-pp009	24.0	0.0	3997.0	dominant1
sub-pp009	25.0	0.0	4157.0	dominant1
sub-pp009	26.0	0.0	4326.0	dominant1
sub-pp009	27.0	0.0	4515.0	dominant1
sub-pp009	28.0	0.0	4694.0	dominant1
sub-pp009	29.0	0.0	4880.0	dominant1
sub-pp009	30.0	0.0	5060.0	dominant1
sub-pp009	31.0	0.0	5236.0	dominant1
sub-pp009	32.0	0.0	5404.0	dominant1
sub-pp009	33.0	0.0	5565.0	dominant1
sub-pp009	34.0	0.0	5732.0	dominant1
sub-pp009	35.0	0.0	5909.0	dominant1
sub-pp009	36.0	0.0	6074.0	dominant1
sub-pp009	37.0	0.0	6259.0	dominant1
sub-pp009	38.0	0.0	6418.0	dominant1
sub-pp009	39.0	0.0	6594.0	dominant1
sub-pp009	40.0	0.0	6762.0	dominant1
sub-pp009	41.0	0.0	6941.0	dominant1
sub-pp009	42.0	0.0	7119.0	dominant1
sub-pp009	43.0	0.0	7307.0	dominant1
sub-pp009	44.0	0.0	7493.0	dominant1
sub-pp009	45.0	0.0	7665.0	dominant1
sub-pp009	46.0	0.0	7840.0	dominant1
sub-pp009	47.0	0.0	8014.0	dominant1
sub-pp009	48.0	0.0	8190.0	dominant1
sub-pp009	49.0	0.0	8358.0	dominant1
sub-pp009	50.0	0.0	8542.0	dominant1
sub-pp009	51.0	0.0	8725.0	dominant1
sub-pp009	52.0	0.0	8905.0	dominant1
sub-pp009	53.0	0.0	9071.0	dominant1
sub-pp009	54.0	0.0	9240.0	dominant1
sub-pp009	55.0	0.0	9417.0	dominant1
sub-pp009	56.0	0.0	9585.0	dominant1
sub-pp009	57.0	0.0	9746.0	dominant1
sub-pp009	58.0	0.0	9923.0	dominant1
sub-pp009	1.0	0.0	120.0	dominant2
sub-pp009	2.0	0.0	282.0	dominant2
sub-pp009	3.0	0.0	464.0	dominant2
sub-pp009	4.0	0.0	622.0	dominant2
sub-pp009	5.0	0.0	803.0	dominant2
sub-pp009	6.0	0.0	984.0	dominant2
sub-pp009	7.0	0.0	1154.0	dominant2
sub-pp009	8.0	0.0	1335.0	dominant2
sub-pp009	9.0	0.0	1505.0	dominant2
sub-pp009	10.0	0.0	1678.0	dominant2
sub-pp009	11.0	0.0	1861.0	dominant2
sub-pp009	12.0	0.0	2036.0	dominant2
sub-pp009	13.0	0.0	2203.0	dominant2
sub-pp009	14.0	0.0	2377.0	dominant2
sub-pp009	15.0	0.0	2562.0	dominant2
sub-pp009	16.0	0.0	2729.0	dominant2
sub-pp009	17.0	0.0	2908.0	dominant2
sub-pp009	18.0	0.0	3081.0	dominant2
sub-pp009	19.0	0.0	3255.0	dominant2
sub-pp009	20.0	0.0	3427.0	dominant2
sub-pp009	21.0	0.0	3613.0	dominant2
sub-pp009	22.0	0.0	3782.0	dominant2
sub-pp009	23.0	0.0	3969.0	dominant2
sub-pp009	24.0	0.0	4164.0	dominant2
sub-pp009	25.0	0.0	4342.0	dominant2
sub-pp009	26.0	0.0	4521.0	dominant2
sub-pp009	27.0	0.0	4712.0	dominant2
sub-pp009	28.0	0.0	4888.0	dominant2
sub-pp009	29.0	0.0	5095.0	dominant2
sub-pp009	30.0	0.0	5271.0	dominant2
sub-pp009	31.0	0.0	5444.0	dominant2
sub-pp009	32.0	0.0	5640.0	dominant2
sub-pp009	33.0	0.0	5814.0	dominant2
sub-pp009	34.0	0.0	5986.0	dominant2
sub-pp009	35.0	0.0	6196.0	dominant2
sub-pp009	36.0	0.0	6385.0	dominant2
sub-pp009	37.0	0.0	6573.0	dominant2
sub-pp009	38.0	0.0	6753.0	dominant2
sub-pp009	39.0	0.0	6934.0	dominant2
sub-pp009	40.0	0.0	7112.0	dominant2
sub-pp009	41.0	0.0	7308.0	dominant2
sub-pp009	42.0	0.0	7492.0	dominant2
sub-pp009	43.0	0.0	7688.0	dominant2
sub-pp009	44.0	0.0	7855.0	dominant2
sub-pp009	45.0	0.0	8068.0	dominant2
sub-pp009	46.0	0.0	8287.0	dominant2
sub-pp009	47.0	0.0	8466.0	dominant2
sub-pp009	48.0	0.0	8664.0	dominant2
sub-pp009	49.0	0.0	8863.0	dominant2
sub-pp009	50.0	0.0	9042.0	dominant2
sub-pp009	51.0	0.0	9238.0	dominant2
sub-pp009	52.0	0.0	9418.0	dominant2
sub-pp009	53.0	0.0	9607.0	dominant2
sub-pp009	54.0	0.0	9802.0	dominant2
sub-pp009	55.0	0.0	9988.0	dominant2
