participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp006	1.0	0.0	2911.39999999851	97
sub-pp006	1.0	0.0	2025.800000000745	63
sub-pp006	1.0	0.0	2582.5999999996275	582
sub-pp006	1.0	0.0	2710.800000000745	694
sub-pp006	1.0	0.0	4202.700000001118	7285
sub-pp006	1.0	0.0	4541.099999999628	6439
sub-pp006	1.0	0.0	5493.800000000745	42731
sub-pp006	1.0	0.0	6693.299999998882	75836
sub-pp006	1.0	0.0	8026.299999998882	392487
sub-pp006	1.0	0.0	6184.0	619473
sub-pp006	0.0	1.0	10646.599999999627	41739486
sub-pp006	0.0	1.0	6185.89999999851	6197248
