participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp006	1.0	0.0	7448.89999999851
sub-pp006	1.0	0.0	2530.9000000003725
sub-pp006	1.0	0.0	6809.699999999255
sub-pp006	1.0	0.0	2251.2000000011176
sub-pp006	1.0	0.0	1840.9000000003723
sub-pp006	1.0	0.0	1690.300000000745
sub-pp006	1.0	0.0	3373.0
sub-pp006	1.0	0.0	4375.39999999851
sub-pp006	1.0	0.0	2026.7000000011176
sub-pp006	1.0	0.0	1626.5999999996277
sub-pp006	1.0	0.0	3031.300000000745
sub-pp006	1.0	0.0	10383.5
sub-pp006	1.0	0.0	4653.700000001118
sub-pp006	0.0	1.0	2209.0999999996275
sub-pp006	1.0	0.0	5133.10000000149
sub-pp006	1.0	0.0	7135.299999998882
sub-pp006	1.0	0.0	1909.7000000011176
sub-pp006	0.0	1.0	5109.199999999255
sub-pp006	1.0	0.0	6142.699999999255
sub-pp006	1.0	0.0	2704.0999999996275
sub-pp006	1.0	0.0	2792.0999999996275
sub-pp006	1.0	0.0	4142.300000000745
sub-pp006	0.0	1.0	7868.800000000745
sub-pp006	1.0	0.0	2627.0
