participant_id	apm_corr	apm_incorr	apm_RT
sub-pp006	1.0	0.0	19600.299999999814
sub-pp006	1.0	0.0	15188.0
sub-pp006	1.0	0.0	17983.60000000056
sub-pp006	1.0	0.0	52153.0
sub-pp006	1.0	0.0	27153.5
sub-pp006	1.0	0.0	64284.200000000186
sub-pp006	1.0	0.0	44288.29999999981
sub-pp006	1.0	0.0	110743.90000000036
sub-pp006	1.0	0.0	29082.099999999627
sub-pp006	1.0	0.0	45397.29999999981
sub-pp006	1.0	0.0	69899.40000000037
sub-pp006	1.0	0.0	73376.70000000019
sub-pp006	1.0	0.0	116566.2999999998
sub-pp006	1.0	0.0	85863.5
sub-pp006	0.0	1.0	99429.69999999924
sub-pp006	0.0	1.0	76068.90000000037
sub-pp006	1.0	0.0	74022.70000000019
sub-pp006	1.0	0.0	107103.2999999998
sub-pp006	0.0	1.0	133841.7000000002
