amma_corr	participant_id	amma_response
0.0	sub-pp006	I
1.0	sub-pp006	I
1.0	sub-pp006	R
1.0	sub-pp006	R
1.0	sub-pp006	M
0.0	sub-pp006	M
0.0	sub-pp006	I
1.0	sub-pp006	R
1.0	sub-pp006	I
1.0	sub-pp006	R
1.0	sub-pp006	M
1.0	sub-pp006	M
1.0	sub-pp006	I
0.0	sub-pp006	I
1.0	sub-pp006	R
1.0	sub-pp006	M
1.0	sub-pp006	R
1.0	sub-pp006	I
0.0	sub-pp006	Je ne sais pas
1.0	sub-pp006	I
1.0	sub-pp006	R
0.0	sub-pp006	R
1.0	sub-pp006	M
1.0	sub-pp006	I
0.0	sub-pp006	I
0.0	sub-pp006	M
1.0	sub-pp006	I
0.0	sub-pp006	M
1.0	sub-pp006	I
0.0	sub-pp006	M
