participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp006	1.0	0.0	3277.9000000003725	13
sub-pp006	1.0	0.0	2733.0	42
sub-pp006	1.0	0.0	4033.900000000373	64
sub-pp006	1.0	0.0	2877.199999999255	75
sub-pp006	1.0	0.0	3701.900000000373	926
sub-pp006	0.0	1.0	4236.4000000003725	547
sub-pp006	1.0	0.0	4413.699999999255	9728
sub-pp006	0.0	1.0	6124.099999999628	8649
sub-pp006	1.0	0.0	5734.9000000003725	34856
sub-pp006	0.0	1.0	9020.5	68541
sub-pp006	0.0	1.0	15824.900000000373	84211
sub-pp006	0.0	1.0	13484.200000001118	657111
