amma_corr	participant_id	amma_response
0.0	sub-pp008	I
0.0	sub-pp008	M
1.0	sub-pp008	R
0.0	sub-pp008	M
0.0	sub-pp008	I
0.0	sub-pp008	Je ne sais pas
0.0	sub-pp008	R
0.0	sub-pp008	M
0.0	sub-pp008	R
1.0	sub-pp008	R
1.0	sub-pp008	M
0.0	sub-pp008	I
1.0	sub-pp008	I
1.0	sub-pp008	M
1.0	sub-pp008	R
0.0	sub-pp008	R
1.0	sub-pp008	R
1.0	sub-pp008	I
1.0	sub-pp008	M
1.0	sub-pp008	I
0.0	sub-pp008	I
0.0	sub-pp008	Je ne sais pas
0.0	sub-pp008	I
0.0	sub-pp008	M
0.0	sub-pp008	R
0.0	sub-pp008	M
0.0	sub-pp008	R
1.0	sub-pp008	R
1.0	sub-pp008	I
0.0	sub-pp008	M
