participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp008	1.0	0.0	1826.2999999523165	97
sub-pp008	1.0	0.0	1336.4000000953674	63
sub-pp008	1.0	0.0	2229.200000047684	582
sub-pp008	1.0	0.0	3055.700000047684	694
sub-pp008	1.0	0.0	4952.5	7285
sub-pp008	1.0	0.0	3521.399999856949	6439
sub-pp008	1.0	0.0	2703.700000047684	42731
sub-pp008	1.0	0.0	2684.0	75836
sub-pp008	1.0	0.0	4586.800000190735	392487
sub-pp008	1.0	0.0	4427.699999809265	619473
sub-pp008	1.0	0.0	3121.099999904633	4179386
sub-pp008	1.0	0.0	5279.0	6917428
sub-pp008	0.0	1.0	4738.700000047684	32296174
sub-pp008	0.0	1.0	15368.099999904633	7832647
