participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp008	1.0	0.0	2333.399999856949	13
sub-pp008	1.0	0.0	817.9000000953674	42
sub-pp008	1.0	0.0	1954.200000047684	64
sub-pp008	1.0	0.0	2011.0999999046328	75
sub-pp008	1.0	0.0	3360.5	926
sub-pp008	1.0	0.0	3072.4000000953674	574
sub-pp008	1.0	0.0	3476.2999999523163	9728
sub-pp008	1.0	0.0	6864.799999952316	8694
sub-pp008	0.0	1.0	11628.5	34852
sub-pp008	1.0	0.0	3861.199999809265	68451
sub-pp008	1.0	0.0	4652.799999952316	814735
sub-pp008	1.0	0.0	3855.0	658427
sub-pp008	0.0	1.0	6883.900000095367	2639482
sub-pp008	1.0	0.0	7173.799999952316	8269374
sub-pp008	0.0	1.0	6812.200000047684	8213496
sub-pp008	0.0	1.0	10276.400000095367	4365
