participant_id	age	sex	edu	nlang	ahrq_score	manipulationfactor	orthographicfactor	verbalfactor	visualfactor	ideal_l2_self	instrumentality	intl_contact	l2_interest	l2_anxiety	l2_confidence	milieu	usage_willingness	ind_mus_train_imt	ind_mus_listening_iml	mus_instr_play_imip	cognitive_and_emotional_regulation	social_connection	engaged_production	dance	physical_exercise	swt_score_cs	swt_score_us	hand_index	bsmss
sub-pp088	20.4	f	16	7	0.510869565217391	4.25	2.66666666666667	3.75	4.2	80	76.6666666666667	95	90	53.3333333333333	65	75	67.5	1	15	0	22	13	9	2	13	3	3	60	38
sub-pp091	21.5	m	18	6	0.369565217391305	3.625	3.66666666666667	3.58333333333333	4	64	76.6666666666667	75	70	53.3333333333333	70	85	75	0	20	0	42	18	9	2	18	8	4	100	20
sub-pp092	33.2	f	18	5	0.108695652173913	4.125	1.66666666666667	2.16666666666667	4.2	72	76.6666666666667	50	90	26.6666666666667	95	100	87.5	2	8	2	27	8	30	10	16	7	3	-75	29.7
sub-pp093	21.6	f	17	5	0.478260869565217	2.875	1.66666666666667	4	3.7	72	80	80	50	66.6666666666667	35	85	62.5	2	15	0.03125	31	9	11	5	11	5	3	80	52
sub-pp094	21.7	f	17	8	0.380434782608698	3	2	4.25	3.9	92	93.3333333333333	100	95	46.6666666666667	85	100	90	2	4	0	25	6	9	11	15	14	9	100	33.5
sub-pp095	19.9	f	14	3	0.336956521739132	2	3.83333333333333	2.91666666666667	3.6	72	80	80	70	40	70	100	70	0	15	0	29	12	9	8	12	5	7	60	30.5
sub-pp099	19.7	m	13	4	0.293478260869565	3.25	3.33333333333333	2.91666666666667	4.2	88	93.3333333333333	80	75	60	70	90	82.5	0	8	0	32	16	9	3	17	14	13	65	61
sub-pp105	25.4	f	17	4	0.173913043478261	4.5	2.5	3.91666666666667	4	88	100	100	95	46.6666666666667	70	100	95	2	5	0	33	10	9	2	15	3	3	-80	17
sub-pp106	24.2	m	17	5	0.315217391304347	4	4.5	3.33333333333333	4.4	88	100	80	95	46.6666666666667	65	100	90	0	8	0	28	12	11	2	11	12	5	60	28.5
sub-pp107	24.3	m	19	2	0.25	3.875	1.33333333333333	3.08333333333333	4	88	96.6666666666667	85	80	53.3333333333333	70	70	92.5	1	10	0	33	16	29	8	15	12	7	50	46
