participant_id	purdue_dh_avg	purdue_ndh_avg	purdue_both_avg	purdue_dh_ndh_both_avg	purdue_assembly_avg	ran_tot_acc	ran_tot_rt	reading_text_acc	reading_text_rt	cvlt_tot_imm	cvlt_tot_recall	spelling_regular_acc	spelling_irregular_acc	spelling_pseudo_acc	spelling_tot_acc	spoon_acc	spoon_rt_manual	regular_acc	irregular_acc	pseudo_acc	regular_rt	irregular_rt	pseudo_rt	non_word_rep_span	non_word_rep_acc	phon_suppr_acc	phon_suppr_rt_manual	wordreading	apm_corr	apm_incorr	apm_rt	alerting	orienting	reorienting	inhibition	rtt_sub_corr	rtt_sub_incorr	rtt_sub_rt	finger_tapping_dominant	finger_tapping_nondominant	digit_for_span	digit_back_span	rtt_sum_corr	rtt_sum_incorr	rtt_sum_rt	corsi_back_span	brocanto_corr1	brocanto_incorr1	brocanto_rt1	brocanto_corr2	brocanto_incorr2	brocanto_rt2	brocanto_corr3	brocanto_incorr3	brocanto_rt3	mlat5_corr	mlat5_incorr	mlat5_rt	cvlt_long_corr	cvlt_long_incorr	cvlt_long_rt	artgram_corr	artgram_incorr	artgram_rt	corsi_for_span	amma_tonal	amma_rhythm	amma_total	hindi_score_weighted	brocanto	arith	fingertap	span_visual	span_verbal
sub-pp013	15.33333333	14.66666667	12.0	42.0	41.33333333	297.0	25.046666666666667	594.0	96.66	73.0	87.0	8	4	6	18	38	180.08	55	52	51	5.74	6.77	9.1075	4.0	52.0	14	85.78	52.66666666666666	14.0	5.0	68871.94736842105	18.2521960240407	70.92796780684108	35.54225352112678	66.01695736434112	28.0	1.0	1982.6896551724133	52.6	54.8	5	5	39.0	2.0	1868.3741463414635	6.0	21.0	19.0	2774.375	32.0	8.0	2263.15	24.0	16.0	2364.55	20.0	4.0	4016.75	43.0	1.0	1883.886363636364	10.0	2.0	34352.416666666664	7.0	15	15	30	273.0	77.0	67.0	53.7	13.0	10
sub-pp018	14.66666667	15.33333333	12.66666667	42.66666667	41.33333333	294.0	22.85166666666667	592.0	91.57	60.0	70.0	9	6	8	23	45	160.3	56	51	53	5.1875	7.496666667	8.035	3.0	46.0	20	84.0	53.333333333333336	11.0	4.0	92521.92666666806	12.78517675477309	40.28281573498964	29.11826933248705	49.20450936805332	26.0	0.0	2168.5730769210136	59.6	62.4	9	6	41.0	0.0	1922.2707317060813	7.0	22.0	16.0	2525.2105263165736	22.0	18.0	2760.972500000149	27.0	13.0	2655.3899999994783	22.0	2.0	3848.1666666666665	43.0	1.0	1531.8181818181818	5.0	7.0	52919.97500000149	9.0	20	19	39	330.0	71.0	67.0	61.0	16.0	15
sub-pp019	12.66666667	11.66666667	9.333333333	33.66666667	22.66666667	293.0	44.876666666666665	594.0	106.69	62.0	71.0	9	4	8	21	43	480.9	55	50	51	9.0175	9.863333333	13.4225	4.0	43.0	15	140.22	52.0	5.0	18.0	31536.89565217333	47.79492624366492	52.20072588582679	26.3673166322314	57.93174684283525	17.0	3.0	2904.7500000003724	59.4	52.4	5	4	27.0	7.0	2574.364705882528	5.0	20.0	20.0	2141.627500000224	15.0	25.0	1824.5875000001863	18.0	22.0	2731.942499999516	15.0	9.0	5791.862500001055	39.0	5.0	2035.772727272728	4.0	8.0	34428.59999999963	7.0	15	16	31	333.0	53.0	44.0	55.9	12.0	9
sub-pp020	15.0	15.0	11.33333333	41.33333333	37.33333333	298.0	27.215	596.0	83.02	74.0	86.0	9	5	6	20	24	241.57	56	51	49	6.8575	6.016666667	7.5	4.0	56.0	18	77.0	52.0	7.0	13.0	62966.93000001311	10.81543927648579	81.47057109557107	87.97222222222223	87.64583333333331	26.0	2.0	2064.9071428733214	72.0	63.2	7	5	38.0	0.0	2109.226315786964	9.0	23.0	17.0	2581.667500013113	16.0	24.0	1995.4074999898671	23.0	17.0	2556.632500004768	13.0	11.0	5599.658333341281	41.0	3.0	1683.7045454545455	7.0	5.0	41289.23333331943	8.0	8	9	17	318.0	62.0	64.0	67.6	17.0	12
sub-pp021	13.66666667	13.33333333	12.33333333	39.33333333	34.66666667	291.0	30.57166666666667	586.0	128.38	68.0	84.0	9	6	8	23	46	181.15	56	51	53	7.145	10.55333333	12.5075	4.0	51.0	18	86.38	53.333333333333336	9.0	9.0	67056.7333333335	42.82904283275013	58.13915587860947	17.7044040940616	100.2403985757183	27.0	4.0	1918.4070322581308	55.6	51.4	9	8	39.0	2.0	1863.486951219499	7.0	22.0	17.0	1960.3692307692284	32.0	8.0	2171.637500000012	33.0	7.0	1950.914999999956	14.0	10.0	4689.27500000014	42.0	2.0	1601.443181829019	9.0	3.0	26840.724999999937	8.0	14	16	30	423.0	87.0	66.0	53.5	15.0	17
sub-pp022	12.33333333	11.0	8.333333333	31.66666667	30.66666667	298.0	22.221666666666664	594.0	94.02	95.0	110.0	9	7	8	24	37	212.23	56	50	53	5.73	7.653333333	8.8875	3.0	40.0	9	92.06	53.0	13.0	10.0	36051.00000000005	21.73796791443852	59.69422222222221	9.677263157894744	29.213773992971085	22.0	2.0	2488.279166666694	80.0	64.4	6	5	32.0	2.0	2941.688235294074	6.0	23.0	17.0	1542.7099999999627	22.0	18.0	1702.869999999879	22.0	18.0	1805.9900000000137	20.0	4.0	3756.912499999938	44.0	0.0	1680.25	10.0	2.0	42021.16666666682	7.0	30	27	57	430.0	67.0	54.0	72.2	13.0	11
sub-pp023	16.0	13.33333333	12.33333333	41.66666667	40.0	300.0	24.125	596.0	95.53	51.0	58.0	9	6	8	23	43	251.5	56	50	53	5.935	7.906666667	8.8	4.0	52.0	17	123.22	53.0	6.0	14.0	64090.5549999997	9.918476591637043	39.38831168831172	18.42739898989901	85.93010591526775	26.0	1.0	2215.930333333002	63.0	57.6	7	5	38.0	1.0	2055.397435898582	6.0	24.0	15.0	1709.7179487160383	19.0	19.0	1263.1631578955996	18.0	21.0	1605.5615384601629	17.0	7.0	6675.441666666418	41.0	3.0	1801.1363636363635	8.0	4.0	24386.06666666766	9.0	20	21	41	399.0	61.0	64.0	60.3	15.0	12
sub-pp024	16.66666667	15.33333333	12.33333333	44.33333333	44.0	299.0	23.015	594.0	84.81	99.0	115.0	10	9	7	26	47	177.59	56	52	55	8.0925	9.976666667	11.305	4.0	47.0	20	78.18	54.333333333333336	12.0	9.0	57244.28095238266	23.24269997389075	41.012374813873976	0.3875317272875804	49.90050266016095	24.0	1.0	2386.912040007153	60.2	57.4	7	5	37.0	2.0	1933.238461541824	8.0	22.0	17.0	2941.310256415453	29.0	11.0	2474.994999995828	29.0	11.0	2546.44999999702	23.0	1.0	2775.945833337804	44.0	0.0	1492.220454508608	10.0	2.0	38122.24166665971	8.0	20	20	40	339.0	80.0	61.0	58.8	16.0	12
sub-pp025	16.66666667	11.66666667	11.0	39.33333333	36.0	298.0	25.275	596.0	170.0	85.0	98.0	8	3	5	16	46	254.54	56	52	56	7.6175	9.443333333	12.4425	3.0	37.0	19	114.33	54.66666666666666	18.0	5.0	53289.59565218636	10.4194125996288	45.4832746478873	41.42693661971833	44.927009456264784	26.0	5.0	1897.377419333304	54.2	48.6	7	7	39.0	4.0	1772.8465116467587	6.0	27.0	12.0	2525.4435897484805	25.0	14.0	3000.399999979215	26.0	13.0	3063.9564102246213	23.0	1.0	2630.5749999682107	40.0	4.0	1896.4545454545453	6.0	6.0	21842.308333337307	9.0	13	14	27	330.0	78.0	65.0	51.400000000000006	15.0	14
sub-pp026	14.66666667	14.66666667	12.66666667	42.0	40.0	298.0	44.16333333333333	582.0	163.68	61.0	69.0	6	2	3	11	47	215.53	56	39	50	11.8275	17.84666667	17.94	3.0	52.0	20	88.5	48.333333333333336	12.0	7.0	63968.647368406	1.645829006647773	54.53717463087549	66.05384615385401	74.91674491401113	20.0	1.0	2760.714285714286	47.2	40.2	9	8	33.0	3.0	2295.0327499443683	6.0	29.0	10.0	3360.9564101879414	35.0	5.0	2888.710000026226	28.0	12.0	2595.0275000572205	18.0	6.0	8784.108333329359	39.0	5.0	1803.2181818181944	8.0	4.0	55567.766666690506	5.0	16	15	31	285.0	92.0	53.0	43.7	11.0	17
sub-pp027	14.0	13.66666667	12.0	39.66666667	37.33333333	298.0	26.633333333333336	594.0	106.41	84.0	98.0	9	6	6	21	48	324.09	56	50	54	7.4475	9.58	10.02	4.0	52.0	16	104.57	53.333333333333336	8.0	15.0	34879.24347825672	51.48302469135797	23.650101010101025	-15.65906542056075	107.62866961217468	27.0	1.0	2117.4750000110694	56.2	53.2	7	6	37.0	1.0	2088.60263157832	7.0	19.0	21.0	1534.782499998808	22.0	18.0	1715.8925000041722	18.0	21.0	1652.06923077351	8.0	16.0	3475.7125000009933	44.0	0.0	1476.8636363636365	6.0	6.0	27479.558333307505	5.0	7	7	14	288.0	59.0	64.0	54.7	12.0	13
sub-pp030	13.0	13.66666667	12.0	37.66666667	41.33333333	297.0	34.36833333333333	592.0	110.16	72.0	85.0	10	4	5	19	42	351.63	55	50	49	7.5775	10.68	11.9425	4.0	45.0	16	126.25	51.333333333333336	13.0	5.0	72495.27777777778	15.482187804712169	77.29118541033438	37.39951017909078	79.00041731872716	24.0	0.0	2226.083333333333	56.4	54.8	7	5	39.0	0.0	2123.589743589744	5.0	20.0	20.0	2319.775	17.0	23.0	2971.65	26.0	14.0	2662.4	21.0	3.0	3856.5416666666665	43.0	1.0	1633.2272727272727	6.0	3.0	90466.22222222222	9.0	6	5	11	279.0	63.0	63.0	55.6	14.0	12
sub-pp031	17.66666667	15.0	13.66666667	46.33333333	42.66666667	298.0	29.343333333333334	594.0	112.69	84.0	97.0	9	8	9	26	41	236.53	56	50	54	9.31	13.12333333	13.8725	3.0	48.0	18		53.333333333333336	8.0	15.0	44253.03913045966	11.66507177033492	62.538352416658256	41.26071759021284	68.5233585858586	19.0	3.0	2638.052181805177	65.2	61.0	6	3	32.0	0.0	2476.515625	7.0	18.0	22.0	2694.717499995232	31.0	8.0	2040.048717951164	25.0	15.0	1979.440000003576	20.0	2.0	10834.781818194822	42.0	2.0	1830.7045454545453	10.0	1.0	78616.3272727186	8.0	20	20	40	285.0	74.0	51.0	63.1	15.0	9
