participant_id	non_native_prod_total_rater1	non_native_count_rater1	non_native_prod_avg_rater1
sub-pp001	344	34	10.1176470588235
sub-pp003	511	38	13.4473684210526
sub-pp004	681	38	17.921052631579
sub-pp005	453	32	14.15625
sub-pp006	327	37	8.83783783783784
sub-pp007	459	38	12.0789473684211
sub-pp008	372	38	9.78947368421053
sub-pp009	426	38	11.2105263157895
sub-pp010	399	36	11.0833333333333
sub-pp011	489	35	13.9714285714286
sub-pp012	490	38	12.8947368421053
sub-pp013	504	38	13.2631578947368
sub-pp018	566	38	14.8947368421053
sub-pp019	568	38	14.9473684210526
sub-pp020	441	38	11.6052631578947
sub-pp021	414	38	10.8947368421053
sub-pp022	411	38	10.8157894736842
sub-pp023	282	36	7.83333333333333
sub-pp024	449	38	11.8157894736842
sub-pp025	426	38	11.2105263157895
sub-pp026	214	38	5.63157894736842
sub-pp027	n/a	0	n/a
sub-pp030	n/a	0	n/a
sub-pp031	420	37	11.3513513513514
sub-pp032	234	30	7.8
sub-pp033	390	35	11.1428571428571
sub-pp035	496	38	13.0526315789474
sub-pp036	371	38	9.76315789473684
sub-pp038	281	26	10.8076923076923
sub-pp039	242	18	13.4444444444444
sub-pp042	315	38	8.28947368421053
sub-pp043	414	38	10.8947368421053
sub-pp044	530	36	14.7222222222222
sub-pp045	200	20	10
sub-pp046	374	34	11
sub-pp048	545	38	14.3421052631579
sub-pp050	248	36	6.88888888888889
sub-pp052	479	38	12.6052631578947
sub-pp053	660	37	17.8378378378378
sub-pp054	558	37	15.0810810810811
sub-pp067	401	38	10.5526315789474
sub-pp068	382	33	11.5757575757576
sub-pp069	286	36	7.94444444444445
sub-pp072	433	38	11.3947368421053
sub-pp073	n/a	0	n/a
sub-pp074	399	37	10.7837837837838
sub-pp076	380	36	10.5555555555556
sub-pp077	570	38	15
sub-pp078	354	37	9.56756756756757
sub-pp083	379	34	11.1470588235294
sub-pp085	432	38	11.3684210526316
sub-pp088	413	36	11.4722222222222
sub-pp091	249	38	6.55263157894737
sub-pp092	432	31	13.9354838709677
sub-pp093	381	38	10.0263157894737
sub-pp094	506	36	14.0555555555556
sub-pp095	452	37	12.2162162162162
sub-pp099	340	32	10.625
sub-pp105	438	37	11.8378378378378
sub-pp106	448	38	11.7894736842105
sub-pp107	425	37	11.4864864864865
sub-pp108	333	38	8.76315789473684
sub-pp110	383	36	10.6388888888889
sub-pp111	360	38	9.47368421052632
sub-pp112	514	38	13.5263157894737
sub-pp114	505	38	13.2894736842105
sub-pp115	332	38	8.73684210526316
sub-pp116	149	33	4.51515151515152
sub-pp117	328	31	10.5806451612903
sub-pp118	340	31	10.9677419354839
sub-pp119	445	38	11.7105263157895
sub-pp120	333	35	9.51428571428571
sub-pp124	490	38	12.8947368421053
sub-pp125	455	38	11.9736842105263
sub-pp126	429	36	11.9166666666667
sub-pp127	306	35	8.74285714285714
sub-pp128	130	37	3.51351351351351
sub-pp129	400	38	10.5263157894737
sub-pp133	573	38	15.0789473684211
sub-pp135	511	38	13.4473684210526
sub-pp137	594	38	15.6315789473684
sub-pp145	375	38	9.86842105263158
sub-pp147	393	38	10.3421052631579
sub-pp149	470	38	12.3684210526316
sub-pp150	402	38	10.5789473684211
sub-pp151	448	37	12.1081081081081
sub-pp152	426	37	11.5135135135135
sub-pp155	520	38	13.6842105263158
sub-pp156	405	35	11.5714285714286
sub-pp158	446	37	12.0540540540541
sub-pp159	372	35	10.6285714285714
sub-pp160	408	38	10.7368421052632
sub-pp161	470	38	12.3684210526316
sub-pp162	597	37	16.1351351351351
sub-pp163	397	38	10.4473684210526
sub-pp164	488	37	13.1891891891892
sub-pp166	426	36	11.8333333333333
sub-pp168	n/a	0	n/a
sub-pp169	432	38	11.3684210526316
sub-pp170	337	38	8.86842105263158
sub-pp171	432	38	11.3684210526316
