participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp003	1.0	0.0	1879.2999999523165
sub-pp003	1.0	0.0	1673.9000000953674
sub-pp003	1.0	0.0	1627.7000000476835
sub-pp003	1.0	0.0	1488.9000000953674
sub-pp003	1.0	0.0	1392.6000001430511
sub-pp003	1.0	0.0	1469.0
sub-pp003	1.0	0.0	1618.0
sub-pp003	1.0	0.0	1562.2000000476835
sub-pp003	1.0	0.0	1719.2000000476835
sub-pp003	1.0	0.0	1763.2000000476835
sub-pp003	1.0	0.0	1103.0999999046326
sub-pp003	1.0	0.0	1258.6999998092651
sub-pp003	1.0	0.0	1556.6999998092651
sub-pp003	0.0	1.0	2459.800000190735
sub-pp003	1.0	0.0	2676.5
sub-pp003	1.0	0.0	1914.900000095368
sub-pp003	1.0	0.0	1072.7000000476835
sub-pp003	1.0	0.0	1674.2999999523165
sub-pp003	1.0	0.0	3130.4000000953674
sub-pp003	1.0	0.0	1917.8000001907349
sub-pp003	1.0	0.0	1312.5
sub-pp003	1.0	0.0	1203.5
sub-pp003	1.0	0.0	3030.0
sub-pp003	1.0	0.0	1898.5
