participant_id	rtt-sum_corr	rtt-sum_incorr	rtt-sum_RT
sub-pp003	1.0	0.0	2135.100000143051
sub-pp003	1.0	0.0	1239.6000001430511
sub-pp003	1.0	0.0	1181.2999999523165
sub-pp003	1.0	0.0	1632.0
sub-pp003	1.0	0.0	1778.2000000476835
sub-pp003	1.0	0.0	1372.2999999523165
sub-pp003	1.0	0.0	1087.0
sub-pp003	1.0	0.0	1633.5
sub-pp003	1.0	0.0	2054.0
sub-pp003	0.0	1.0	7479.0
sub-pp003	1.0	0.0	1365.5
sub-pp003	1.0	0.0	1263.0
sub-pp003	1.0	0.0	1698.8999998569489
sub-pp003	1.0	0.0	1147.2999999523165
sub-pp003	1.0	0.0	1041.0999999046326
sub-pp003	1.0	0.0	1439.0
sub-pp003	1.0	0.0	1363.4000000953674
sub-pp003	1.0	0.0	1269.4000000953674
sub-pp003	1.0	0.0	1213.7999999523165
sub-pp003	1.0	0.0	1477.0
sub-pp003	0.0	1.0	187.0
sub-pp003	1.0	0.0	1918.700000047684
sub-pp003	1.0	0.0	1603.6999998092651
sub-pp003	1.0	0.0	1351.5999999046326
sub-pp003	1.0	0.0	1402.1000001430511
sub-pp003	1.0	0.0	1673.2000000476835
sub-pp003	1.0	0.0	1470.5
sub-pp003	1.0	0.0	1279.5999999046326
sub-pp003	1.0	0.0	1521.1000001430511
sub-pp003	1.0	0.0	1449.5999999046326
sub-pp003	1.0	0.0	1618.5
sub-pp003	1.0	0.0	1792.5
sub-pp003	1.0	0.0	2230.100000143051
sub-pp003	1.0	0.0	2237.200000047684
sub-pp003	1.0	0.0	2536.0
sub-pp003	1.0	0.0	2095.5
sub-pp003	1.0	0.0	1806.700000047684
sub-pp003	1.0	0.0	1866.200000047684
sub-pp003	0.0	1.0	2772.599999904633
sub-pp003	1.0	0.0	3330.5
sub-pp003	1.0	0.0	4059.700000047684
sub-pp003	1.0	0.0	3149.099999904633
