participant_id	apm_corr	apm_incorr	apm_RT
sub-pp003	1.0	0.0	49244.59999990463
sub-pp003	1.0	0.0	51989.0
sub-pp003	1.0	0.0	50602.09999990463
sub-pp003	1.0	0.0	46701.19999980927
sub-pp003	1.0	0.0	30733.0
sub-pp003	1.0	0.0	89921.5
sub-pp003	1.0	0.0	69241.40000009537
sub-pp003	1.0	0.0	61160.69999980927
sub-pp003	1.0	0.0	59162.89999985695
sub-pp003	0.0	1.0	50577.20000004768
sub-pp003	1.0	0.0	77404.79999995232
sub-pp003	1.0	0.0	40071.10000014305
sub-pp003	0.0	1.0	61484.70000004768
sub-pp003	1.0	0.0	68497.40000009537
sub-pp003	0.0	1.0	40739.40000009537
sub-pp003	0.0	1.0	79738.39999985695
sub-pp003	0.0	1.0	61954.90000009537
sub-pp003	0.0	1.0	65145.10000014305
sub-pp003	0.0	1.0	96850.0
sub-pp003	0.0	1.0	60467.29999995232
