participant_id	brocanto_corr	brocanto_incorr	brocanto_RT	brocanto_block
sub-pp003	1.0	0.0	3705.799999952316	1.0
sub-pp003	0.0	1.0	1806.0	1.0
sub-pp003	1.0	0.0	2880.700000047684	1.0
sub-pp003	1.0	0.0	1085.1000001430511	1.0
sub-pp003	1.0	0.0	1913.7999999523165	1.0
sub-pp003	1.0	0.0	1291.6999998092651	1.0
sub-pp003	1.0	0.0	2834.0	1.0
sub-pp003	1.0	0.0	1842.0	1.0
sub-pp003	1.0	0.0	2252.899999856949	1.0
sub-pp003	1.0	0.0	1762.0	1.0
sub-pp003	1.0	0.0	2676.2999999523163	1.0
sub-pp003	1.0	0.0	5392.299999952316	1.0
sub-pp003	1.0	0.0	1578.7999999523165	1.0
sub-pp003	1.0	0.0	2200.300000190735	1.0
sub-pp003	1.0	0.0	1592.5	1.0
sub-pp003	0.0	1.0	2347.700000047684	1.0
sub-pp003	1.0	0.0	2344.099999904633	1.0
sub-pp003	1.0	0.0	2110.699999809265	1.0
sub-pp003	1.0	0.0	2584.7999999523163	1.0
sub-pp003	1.0	0.0	2454.599999904633	1.0
sub-pp003	1.0	0.0	3119.5	1.0
sub-pp003	0.0	1.0	1415.2999999523165	1.0
sub-pp003	1.0	0.0	2801.9000000953674	1.0
sub-pp003	1.0	0.0	3087.300000190735	1.0
sub-pp003	1.0	0.0	1488.2000000476835	1.0
sub-pp003	1.0	0.0	1769.7999999523165	1.0
sub-pp003	1.0	0.0	2239.9000000953674	1.0
sub-pp003	1.0	0.0	1899.7999999523165	1.0
sub-pp003	0.0	1.0	2257.2999999523163	1.0
sub-pp003	1.0	0.0	2247.2999999523163	1.0
sub-pp003	1.0	0.0	2081.700000047684	1.0
sub-pp003	1.0	0.0	2765.899999856949	1.0
sub-pp003	1.0	0.0	2365.300000190735	1.0
sub-pp003	0.0	1.0	2607.5	1.0
sub-pp003	0.0	1.0	1487.9000000953674	1.0
sub-pp003	1.0	0.0	2967.4000000953674	1.0
sub-pp003	1.0	0.0	1591.0	1.0
sub-pp003	0.0	1.0	3323.199999809265	1.0
sub-pp003	1.0	0.0	3501.2999999523163	1.0
sub-pp003	1.0	0.0	2267.7999999523163	2.0
sub-pp003	1.0	0.0	2607.0	2.0
sub-pp003	1.0	0.0	1826.700000047684	2.0
sub-pp003	1.0	0.0	2173.7999999523163	2.0
sub-pp003	1.0	0.0	3188.700000047684	2.0
sub-pp003	0.0	1.0	2097.5	2.0
sub-pp003	1.0	0.0	1693.5999999046326	2.0
sub-pp003	1.0	0.0	1829.8999998569489	2.0
sub-pp003	1.0	0.0	3009.399999856949	2.0
sub-pp003	1.0	0.0	2086.0	2.0
sub-pp003	1.0	0.0	2535.600000143051	2.0
sub-pp003	1.0	0.0	1984.200000047684	2.0
sub-pp003	1.0	0.0	1583.0999999046326	2.0
sub-pp003	1.0	0.0	2542.100000143051	2.0
sub-pp003	1.0	0.0	1974.5999999046328	2.0
sub-pp003	1.0	0.0	3146.5	2.0
sub-pp003	0.0	1.0	2299.4000000953674	2.0
sub-pp003	1.0	0.0	2110.700000047684	2.0
sub-pp003	1.0	0.0	1451.6000001430511	2.0
sub-pp003	1.0	0.0	1531.0	2.0
sub-pp003	1.0	0.0	1367.9000000953674	2.0
sub-pp003	1.0	0.0	2696.5	2.0
sub-pp003	0.0	1.0	1651.3999998569489	2.0
sub-pp003	1.0	0.0	1748.0	2.0
sub-pp003	0.0	1.0	2289.0	2.0
sub-pp003	1.0	0.0	2616.600000143051	2.0
sub-pp003	0.0	1.0	2094.2999999523163	2.0
sub-pp003	1.0	0.0	2504.700000047684	2.0
sub-pp003	0.0	1.0	3076.9000000953674	2.0
sub-pp003	1.0	0.0	1546.1000001430511	2.0
sub-pp003	1.0	0.0	1537.5	2.0
sub-pp003	1.0	0.0	1738.5	2.0
sub-pp003	1.0	0.0	1945.200000047684	2.0
sub-pp003	0.0	1.0	2523.399999856949	2.0
sub-pp003	1.0	0.0	3301.200000047684	2.0
sub-pp003	1.0	0.0	2808.099999904633	2.0
sub-pp003	1.0	0.0	1202.2000000476835	2.0
sub-pp003	1.0	0.0	2569.800000190735	2.0
sub-pp003	1.0	0.0	1722.4000000953674	2.0
sub-pp003	1.0	0.0	1886.5	2.0
sub-pp003	1.0	0.0	3656.599999904633	3.0
sub-pp003	1.0	0.0	1518.2999999523165	3.0
sub-pp003	1.0	0.0	2346.599999904633	3.0
sub-pp003	1.0	0.0	1804.6000001430511	3.0
sub-pp003	1.0	0.0	2468.5	3.0
sub-pp003	1.0	0.0	3062.5	3.0
sub-pp003	1.0	0.0	2889.200000047684	3.0
sub-pp003	1.0	0.0	2003.5	3.0
sub-pp003	1.0	0.0	1880.1000001430511	3.0
sub-pp003	1.0	0.0	2473.2999999523163	3.0
sub-pp003	1.0	0.0	1283.5999999046326	3.0
sub-pp003	1.0	0.0	1883.2999999523165	3.0
sub-pp003	1.0	0.0	2701.0	3.0
sub-pp003	1.0	0.0	3703.299999952316	3.0
sub-pp003	1.0	0.0	2453.300000190735	3.0
sub-pp003	1.0	0.0	1660.2000000476835	3.0
sub-pp003	1.0	0.0	1935.200000047684	3.0
sub-pp003	1.0	0.0	1720.2000000476835	3.0
sub-pp003	0.0	1.0	1447.7000000476835	3.0
sub-pp003	1.0	0.0	3919.0	3.0
sub-pp003	1.0	0.0	1634.3999998569489	3.0
sub-pp003	1.0	0.0	2021.2999999523165	3.0
sub-pp003	1.0	0.0	1757.0999999046326	3.0
sub-pp003	1.0	0.0	2205.7999999523163	3.0
sub-pp003	1.0	0.0	1387.0999999046326	3.0
sub-pp003	1.0	0.0	1973.7999999523165	3.0
sub-pp003	1.0	0.0	1980.1000001430511	3.0
sub-pp003	1.0	0.0	1975.5	3.0
sub-pp003	1.0	0.0	2312.700000047684	3.0
sub-pp003	1.0	0.0	2400.200000047684	3.0
sub-pp003	1.0	0.0	2763.099999904633	3.0
sub-pp003	1.0	0.0	2020.400000095368	3.0
sub-pp003	1.0	0.0	1270.0	3.0
sub-pp003	1.0	0.0	2170.7999999523163	3.0
sub-pp003	1.0	0.0	1546.2000000476835	3.0
sub-pp003	1.0	0.0	1449.9000000953674	3.0
