participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp003	1.0	0.0	2051.0	97
sub-pp003	1.0	0.0	1612.8000001907349	63
sub-pp003	1.0	0.0	1172.1000001430511	582
sub-pp003	1.0	0.0	4033.0	694
sub-pp003	1.0	0.0	2289.0	7285
sub-pp003	1.0	0.0	3558.800000190735	6439
sub-pp003	1.0	0.0	3445.4000000953674	42731
sub-pp003	1.0	0.0	4601.600000143051	75836
sub-pp003	1.0	0.0	4100.300000190735	392487
sub-pp003	1.0	0.0	4109.299999952316	619473
sub-pp003	1.0	0.0	7555.0	4179386
sub-pp003	1.0	0.0	8141.799999952316	6917428
sub-pp003	1.0	0.0	5642.700000047684	38296174
sub-pp003	0.0	1.0	7678.699999809265	58192647
sub-pp003	1.0	0.0	12385.700000047684	275863194
sub-pp003	0.0	1.0	8970.200000047684	731942568
