amma_corr	participant_id	amma_response
1.0	sub-pp003	M
1.0	sub-pp003	I
1.0	sub-pp003	R
1.0	sub-pp003	R
1.0	sub-pp003	M
0.0	sub-pp003	M
1.0	sub-pp003	M
0.0	sub-pp003	I
1.0	sub-pp003	I
1.0	sub-pp003	R
1.0	sub-pp003	M
0.0	sub-pp003	I
1.0	sub-pp003	I
1.0	sub-pp003	M
1.0	sub-pp003	R
1.0	sub-pp003	M
1.0	sub-pp003	R
0.0	sub-pp003	M
1.0	sub-pp003	M
1.0	sub-pp003	I
1.0	sub-pp003	R
0.0	sub-pp003	Je ne sais pas
0.0	sub-pp003	I
0.0	sub-pp003	M
1.0	sub-pp003	M
1.0	sub-pp003	R
1.0	sub-pp003	I
0.0	sub-pp003	I
1.0	sub-pp003	I
1.0	sub-pp003	R
