participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp005	1.0	0.0	4543.0
sub-pp005	1.0	0.0	1524.0
sub-pp005	1.0	0.0	4169.0
sub-pp005	1.0	0.0	7288.0
sub-pp005	1.0	0.0	6136.0
sub-pp005	1.0	0.0	1635.0
sub-pp005	0.0	1.0	7259.0
sub-pp005	1.0	0.0	9806.0
sub-pp005	1.0	0.0	11201.0
sub-pp005	0.0	1.0	9501.0
sub-pp005	0.0	1.0	9515.0
sub-pp005	1.0	0.0	4082.0
sub-pp005	1.0	0.0	6008.0
sub-pp005	0.0	1.0	4017.0
sub-pp005	0.0	1.0	5604.0
sub-pp005	0.0	1.0	11640.0
sub-pp005	1.0	0.0	6500.0
sub-pp005	0.0	1.0	16756.0
sub-pp005	1.0	0.0	5461.0
sub-pp005	1.0	0.0	1792.0
sub-pp005	0.0	1.0	8892.0
sub-pp005	1.0	0.0	4875.0
sub-pp005	0.0	1.0	5524.0
sub-pp005	1.0	0.0	8829.0
