participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp005	1.0	0.0	2459.0	13
sub-pp005	0.0	1.0	2954.0	24
sub-pp005	1.0	0.0	3577.0	64
sub-pp005	1.0	0.0	2718.0	75
sub-pp005	1.0	0.0	3197.0	926
sub-pp005	1.0	0.0	4413.0	574
sub-pp005	1.0	0.0	3834.0	9728
sub-pp005	1.0	0.0	6898.0	8694
sub-pp005	1.0	0.0	15355.0	34856
sub-pp005	1.0	0.0	14929.0	68451
sub-pp005	0.0	1.0	31577.0	81735
sub-pp005	1.0	0.0	22013.0	658427
sub-pp005	0.0	1.0	31466.0	261948
sub-pp005	0.0	1.0	32263.0	82639174
