participant_id	rtt-sum_corr	rtt-sum_incorr	rtt-sum_RT
sub-pp005	1.0	0.0	2165.0
sub-pp005	1.0	0.0	1523.0
sub-pp005	1.0	0.0	1278.0
sub-pp005	1.0	0.0	2190.0
sub-pp005	1.0	0.0	2423.0
sub-pp005	1.0	0.0	1911.0
sub-pp005	1.0	0.0	1656.0
sub-pp005	1.0	0.0	2447.0
sub-pp005	1.0	0.0	4759.0
sub-pp005	1.0	0.0	14325.0
sub-pp005	1.0	0.0	1903.0
sub-pp005	1.0	0.0	1367.0
sub-pp005	1.0	0.0	1465.0
sub-pp005	1.0	0.0	1346.0
sub-pp005	1.0	0.0	1707.0
sub-pp005	1.0	0.0	1734.0
sub-pp005	1.0	0.0	2717.0
sub-pp005	1.0	0.0	1668.0
sub-pp005	1.0	0.0	1711.0
sub-pp005	1.0	0.0	2563.0
sub-pp005	1.0	0.0	2857.0
sub-pp005	1.0	0.0	2964.0
sub-pp005	1.0	0.0	2225.0
sub-pp005	1.0	0.0	2243.0
sub-pp005	1.0	0.0	1593.0
sub-pp005	1.0	0.0	2625.0
sub-pp005	1.0	0.0	2904.0
sub-pp005	1.0	0.0	1856.0
sub-pp005	1.0	0.0	4919.0
sub-pp005	1.0	0.0	3510.0
sub-pp005	1.0	0.0	2466.0
sub-pp005	1.0	0.0	2568.0
sub-pp005	0.0	1.0	7868.0
