amma_corr	participant_id	amma_response
0.0	sub-pp005	I
1.0	sub-pp005	I
0.0	sub-pp005	M
1.0	sub-pp005	R
0.0	sub-pp005	I
0.0	sub-pp005	M
1.0	sub-pp005	M
1.0	sub-pp005	R
0.0	sub-pp005	M
1.0	sub-pp005	R
1.0	sub-pp005	M
1.0	sub-pp005	M
1.0	sub-pp005	I
0.0	sub-pp005	I
0.0	sub-pp005	M
1.0	sub-pp005	M
1.0	sub-pp005	R
0.0	sub-pp005	M
1.0	sub-pp005	M
1.0	sub-pp005	I
1.0	sub-pp005	R
0.0	sub-pp005	M
1.0	sub-pp005	M
0.0	sub-pp005	M
0.0	sub-pp005	R
0.0	sub-pp005	M
1.0	sub-pp005	I
0.0	sub-pp005	M
1.0	sub-pp005	I
0.0	sub-pp005	M
