participant_id	apm_corr	apm_incorr	apm_RT
sub-pp005	1.0	0.0	13365.0
sub-pp005	1.0	0.0	7782.0
sub-pp005	1.0	0.0	16473.0
sub-pp005	1.0	0.0	11674.0
sub-pp005	1.0	0.0	23651.0
sub-pp005	1.0	0.0	20857.0
sub-pp005	1.0	0.0	47824.0
sub-pp005	1.0	0.0	47629.0
sub-pp005	1.0	0.0	38519.0
sub-pp005	1.0	0.0	65932.0
sub-pp005	1.0	0.0	55020.0
sub-pp005	1.0	0.0	48625.0
sub-pp005	1.0	0.0	81596.0
sub-pp005	0.0	1.0	78396.0
sub-pp005	0.0	1.0	154882.0
sub-pp005	0.0	1.0	94895.0
sub-pp005	1.0	0.0	74162.0
sub-pp005	1.0	0.0	237825.0
sub-pp005	0.0	1.0	170.0
sub-pp005	0.0	1.0	33.0
sub-pp005	0.0	1.0	107466.0
