participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp011	1.0	0.0	1617.8000000000466
sub-pp011	1.0	0.0	5657.100000000093
sub-pp011	1.0	0.0	2852.3000000000466
sub-pp011	1.0	0.0	2358.8000000000466
sub-pp011	1.0	0.0	6882.299999999814
sub-pp011	0.0	1.0	11908.800000000048
sub-pp011	1.0	0.0	4449.300000000047
sub-pp011	1.0	0.0	2477.5
sub-pp011	1.0	0.0	10259.59999999986
sub-pp011	0.0	1.0	11071.90000000014
sub-pp011	1.0	0.0	5606.299999999814
sub-pp011	1.0	0.0	2138.3000000000466
sub-pp011	1.0	0.0	3030.199999999953
sub-pp011	0.0	1.0	3743.100000000093
sub-pp011	1.0	0.0	7745.199999999953
sub-pp011	1.0	0.0	8483.699999999953
sub-pp011	1.0	0.0	3413.0
sub-pp011	0.0	1.0	3716.899999999907
sub-pp011	0.0	1.0	9214.59999999986
sub-pp011	0.0	1.0	6046.600000000093
sub-pp011	1.0	0.0	3741.5
sub-pp011	1.0	0.0	2592.0999999998603
sub-pp011	0.0	1.0	11121.59999999986
sub-pp011	1.0	0.0	2655.3000000000466
