participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp011	1.0	0.0	1548.4000000003723	13
sub-pp011	1.0	0.0	690.0	42
sub-pp011	1.0	0.0	784.1999999992549	64
sub-pp011	1.0	0.0	791.3000000007451	75
sub-pp011	1.0	0.0	1444.7000000011176	926
sub-pp011	1.0	0.0	4043.900000000373	574
sub-pp011	1.0	0.0	5984.39999999851	9728
sub-pp011	0.0	1.0	7056.89999999851	8649
sub-pp011	0.0	1.0	17134.199999999255	38547
sub-pp011	1.0	0.0	8675.799999998882	68451
sub-pp011	0.0	1.0	18885.0	834751
sub-pp011	0.0	1.0	12536.5	856247
