amma_corr	participant_id	amma_response
1.0	sub-pp011	M
1.0	sub-pp011	I
0.0	sub-pp011	M
0.0	sub-pp011	Je ne sais pas
1.0	sub-pp011	M
0.0	sub-pp011	M
1.0	sub-pp011	M
1.0	sub-pp011	R
0.0	sub-pp011	M
1.0	sub-pp011	R
1.0	sub-pp011	M
1.0	sub-pp011	M
1.0	sub-pp011	I
1.0	sub-pp011	M
0.0	sub-pp011	M
1.0	sub-pp011	M
1.0	sub-pp011	R
1.0	sub-pp011	I
1.0	sub-pp011	M
1.0	sub-pp011	I
1.0	sub-pp011	R
1.0	sub-pp011	I
0.0	sub-pp011	I
0.0	sub-pp011	M
1.0	sub-pp011	M
1.0	sub-pp011	R
0.0	sub-pp011	M
0.0	sub-pp011	I
1.0	sub-pp011	I
1.0	sub-pp011	R
