participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp011	1.0	0.0	140.0	dominant1
sub-pp011	2.0	0.0	279.0	dominant1
sub-pp011	3.0	0.0	476.0	dominant1
sub-pp011	4.0	0.0	576.0	dominant1
sub-pp011	5.0	0.0	679.0	dominant1
sub-pp011	6.0	0.0	753.0	dominant1
sub-pp011	7.0	0.0	832.0	dominant1
sub-pp011	8.0	0.0	987.0	dominant1
sub-pp011	9.0	0.0	1066.0	dominant1
sub-pp011	10.0	0.0	1153.0	dominant1
sub-pp011	11.0	0.0	1404.0	dominant1
sub-pp011	12.0	0.0	1486.0	dominant1
sub-pp011	13.0	0.0	1568.0	dominant1
sub-pp011	14.0	0.0	1702.0	dominant1
sub-pp011	15.0	0.0	1784.0	dominant1
sub-pp011	16.0	0.0	1878.0	dominant1
sub-pp011	17.0	0.0	2044.0	dominant1
sub-pp011	18.0	0.0	2174.0	dominant1
sub-pp011	19.0	0.0	2372.0	dominant1
sub-pp011	20.0	0.0	2457.0	dominant1
sub-pp011	21.0	0.0	2521.0	dominant1
sub-pp011	22.0	0.0	2713.0	dominant1
sub-pp011	23.0	0.0	2804.0	dominant1
sub-pp011	24.0	0.0	2888.0	dominant1
sub-pp011	25.0	0.0	2976.0	dominant1
sub-pp011	26.0	0.0	3073.0	dominant1
sub-pp011	27.0	0.0	3262.0	dominant1
sub-pp011	28.0	0.0	3337.0	dominant1
sub-pp011	29.0	0.0	3431.0	dominant1
sub-pp011	30.0	0.0	3520.0	dominant1
sub-pp011	31.0	0.0	3799.0	dominant1
sub-pp011	32.0	0.0	3873.0	dominant1
sub-pp011	33.0	0.0	3953.0	dominant1
sub-pp011	34.0	0.0	4051.0	dominant1
sub-pp011	35.0	0.0	4148.0	dominant1
sub-pp011	36.0	0.0	4236.0	dominant1
sub-pp011	37.0	0.0	4328.0	dominant1
sub-pp011	38.0	0.0	4414.0	dominant1
sub-pp011	39.0	0.0	4529.0	dominant1
sub-pp011	40.0	0.0	4696.0	dominant1
sub-pp011	41.0	0.0	4867.0	dominant1
sub-pp011	42.0	0.0	5017.0	dominant1
sub-pp011	43.0	0.0	5119.0	dominant1
sub-pp011	44.0	0.0	5184.0	dominant1
sub-pp011	45.0	0.0	5671.0	dominant1
sub-pp011	46.0	0.0	5816.0	dominant1
sub-pp011	47.0	0.0	5981.0	dominant1
sub-pp011	48.0	0.0	6127.0	dominant1
sub-pp011	49.0	0.0	6286.0	dominant1
sub-pp011	50.0	0.0	6360.0	dominant1
sub-pp011	51.0	0.0	6449.0	dominant1
sub-pp011	52.0	0.0	6527.0	dominant1
sub-pp011	53.0	0.0	6611.0	dominant1
sub-pp011	54.0	0.0	6718.0	dominant1
sub-pp011	55.0	0.0	6820.0	dominant1
sub-pp011	56.0	0.0	7011.0	dominant1
sub-pp011	57.0	0.0	7164.0	dominant1
sub-pp011	58.0	0.0	7334.0	dominant1
sub-pp011	59.0	0.0	7483.0	dominant1
sub-pp011	60.0	0.0	7649.0	dominant1
sub-pp011	61.0	0.0	7822.0	dominant1
sub-pp011	62.0	0.0	8018.0	dominant1
sub-pp011	63.0	0.0	8189.0	dominant1
sub-pp011	64.0	0.0	8278.0	dominant1
sub-pp011	65.0	0.0	8502.0	dominant1
sub-pp011	66.0	0.0	8663.0	dominant1
sub-pp011	67.0	0.0	8713.0	dominant1
sub-pp011	68.0	0.0	8820.0	dominant1
sub-pp011	69.0	0.0	8937.0	dominant1
sub-pp011	70.0	0.0	9105.0	dominant1
sub-pp011	71.0	0.0	9215.0	dominant1
sub-pp011	72.0	0.0	9501.0	dominant1
sub-pp011	73.0	0.0	9601.0	dominant1
sub-pp011	74.0	0.0	9714.0	dominant1
sub-pp011	75.0	0.0	9808.0	dominant1
sub-pp011	76.0	0.0	9906.0	dominant1
sub-pp011	1.0	0.0	180.0	dominant2
