participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp011	1.0	0.0	1024.2000000001865	97
sub-pp011	1.0	0.0	1252.5999999996277	63
sub-pp011	1.0	0.0	1577.5	582
sub-pp011	1.0	0.0	1761.0999999996277	694
sub-pp011	1.0	0.0	1735.9000000003723	7285
sub-pp011	1.0	0.0	1656.5999999996277	6439
sub-pp011	1.0	0.0	2226.9000000003725	42731
sub-pp011	1.0	0.0	2372.2000000001863	75836
sub-pp011	1.0	0.0	2641.7999999998137	392487
sub-pp011	1.0	0.0	4361.200000000186	619473
sub-pp011	0.0	1.0	3709.099999999628	41793186
sub-pp011	0.0	1.0	13041.0	6179428
