participant_id	rtt-sum_corr	rtt-sum_incorr	rtt-sum_RT
sub-pp011	1.0	0.0	3028.399999999441
sub-pp011	1.0	0.0	1441.699999999255
sub-pp011	1.0	0.0	1964.599999999628
sub-pp011	1.0	0.0	1829.2000000001865
sub-pp011	1.0	0.0	2184.2000000001863
sub-pp011	1.0	0.0	1497.4000000003723
sub-pp011	1.0	0.0	1296.8999999994412
sub-pp011	1.0	0.0	2508.0
sub-pp011	1.0	0.0	2660.7000000001863
sub-pp011	1.0	0.0	3242.4000000003725
sub-pp011	1.0	0.0	1500.8999999994412
sub-pp011	1.0	0.0	1642.2000000001865
sub-pp011	1.0	0.0	1190.4000000003723
sub-pp011	1.0	0.0	2257.399999999441
sub-pp011	1.0	0.0	1164.6000000005588
sub-pp011	1.0	0.0	1324.0
sub-pp011	1.0	0.0	1426.3999999994412
sub-pp011	1.0	0.0	1266.8999999994412
sub-pp011	1.0	0.0	1308.2999999998135
sub-pp011	1.0	0.0	2548.2999999998137
sub-pp011	1.0	0.0	1388.0999999996277
sub-pp011	1.0	0.0	1279.0999999996277
sub-pp011	1.0	0.0	1877.300000000745
sub-pp011	1.0	0.0	1316.7000000001865
sub-pp011	1.0	0.0	1626.5
sub-pp011	1.0	0.0	1679.7999999998135
sub-pp011	1.0	0.0	2359.2000000001863
sub-pp011	1.0	0.0	1797.9000000003723
sub-pp011	1.0	0.0	1465.3999999994412
sub-pp011	1.0	0.0	2057.4000000003725
sub-pp011	1.0	0.0	1693.5
sub-pp011	1.0	0.0	1844.099999999628
sub-pp011	1.0	0.0	2033.5
sub-pp011	1.0	0.0	1677.5
sub-pp011	1.0	0.0	1699.5
sub-pp011	1.0	0.0	1684.7000000001865
sub-pp011	1.0	0.0	2239.5999999996275
sub-pp011	1.0	0.0	1973.6000000005588
sub-pp011	0.0	1.0	3982.7999999998137
sub-pp011	0.0	1.0	8442.299999999814
