participant_id	apm_corr	apm_incorr	apm_RT
sub-pp011	1.0	0.0	9768.10000000056
sub-pp011	1.0	0.0	8454.5
sub-pp011	1.0	0.0	7717.399999999441
sub-pp011	0.0	1.0	34777.5
sub-pp011	1.0	0.0	11447.699999999257
sub-pp011	1.0	0.0	19116.700000000183
sub-pp011	1.0	0.0	19118.299999999814
sub-pp011	0.0	1.0	18615.799999999814
sub-pp011	1.0	0.0	34865.59999999963
sub-pp011	0.0	1.0	30262.200000000183
sub-pp011	1.0	0.0	17515.799999999814
sub-pp011	1.0	0.0	21470.5
sub-pp011	0.0	1.0	29390.900000000373
sub-pp011	0.0	1.0	33987.59999999963
sub-pp011	0.0	1.0	35583.39999999944
sub-pp011	0.0	1.0	18360.200000000183
sub-pp011	0.0	1.0	21892.900000000373
sub-pp011	0.0	1.0	27641.900000000373
sub-pp011	1.0	0.0	27443.60000000056
sub-pp011	1.0	0.0	34926.09999999963
sub-pp011	0.0	1.0	36194.700000000186
sub-pp011	1.0	0.0	15390.299999999814
sub-pp011	0.0	1.0	40069.39999999944
