amma_corr	participant_id	amma_response
1.0	sub-pp007	M
1.0	sub-pp007	I
0.0	sub-pp007	M
0.0	sub-pp007	Je ne sais pas
1.0	sub-pp007	M
0.0	sub-pp007	M
1.0	sub-pp007	M
0.0	sub-pp007	M
1.0	sub-pp007	I
1.0	sub-pp007	R
1.0	sub-pp007	M
1.0	sub-pp007	M
1.0	sub-pp007	I
1.0	sub-pp007	M
0.0	sub-pp007	M
1.0	sub-pp007	M
1.0	sub-pp007	R
1.0	sub-pp007	I
1.0	sub-pp007	M
1.0	sub-pp007	I
1.0	sub-pp007	R
0.0	sub-pp007	R
1.0	sub-pp007	M
0.0	sub-pp007	Je ne sais pas
0.0	sub-pp007	I
0.0	sub-pp007	M
1.0	sub-pp007	I
0.0	sub-pp007	M
0.0	sub-pp007	Je ne sais pas
0.0	sub-pp007	M
