participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp007	1.0	0.0	1945.700000047684	97
sub-pp007	1.0	0.0	1229.5999999046326	63
sub-pp007	1.0	0.0	1818.3999998569489	582
sub-pp007	1.0	0.0	2071.200000047684	694
sub-pp007	1.0	0.0	3026.200000047684	7285
sub-pp007	1.0	0.0	2642.899999856949	6439
sub-pp007	1.0	0.0	3877.799999952316	42731
sub-pp007	1.0	0.0	5338.5	75836
sub-pp007	1.0	0.0	4263.299999952316	392487
sub-pp007	1.0	0.0	5961.799999952316	619473
sub-pp007	0.0	1.0	10640.099999904633	41798356
sub-pp007	1.0	0.0	6581.099999904633	6917428
sub-pp007	0.0	1.0	10395.299999952316	38297174
sub-pp007	0.0	1.0	10466.100000143051	5823167
