participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp007	1.0	0.0	2128.4000000953674
sub-pp007	1.0	0.0	1753.0
sub-pp007	1.0	0.0	1578.2000000476835
sub-pp007	1.0	0.0	1267.2999999523165
sub-pp007	1.0	0.0	3459.7999999523163
sub-pp007	1.0	0.0	2110.700000047684
sub-pp007	1.0	0.0	1691.5
sub-pp007	1.0	0.0	2834.599999904633
sub-pp007	1.0	0.0	1423.6000001430511
sub-pp007	1.0	0.0	1206.8999998569489
sub-pp007	1.0	0.0	2422.2999999523163
sub-pp007	1.0	0.0	2513.5
sub-pp007	1.0	0.0	1602.0
sub-pp007	0.0	1.0	2451.5
sub-pp007	1.0	0.0	5689.799999952316
sub-pp007	1.0	0.0	3213.0
sub-pp007	1.0	0.0	5480.0
sub-pp007	1.0	0.0	4868.200000047684
sub-pp007	1.0	0.0	2946.700000047684
sub-pp007	1.0	0.0	3731.0
sub-pp007	1.0	0.0	1863.200000047684
sub-pp007	1.0	0.0	1377.7000000476835
sub-pp007	1.0	0.0	6397.700000047684
sub-pp007	1.0	0.0	2951.2999999523163
