participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp007	1.0	0.0	1283.8000001907349	13
sub-pp007	1.0	0.0	1282.8999998569489	42
sub-pp007	1.0	0.0	1862.0	64
sub-pp007	1.0	0.0	1668.7999999523165	75
sub-pp007	1.0	0.0	2569.2999999523163	926
sub-pp007	1.0	0.0	2637.200000047684	574
sub-pp007	1.0	0.0	5996.300000190735	9728
sub-pp007	1.0	0.0	4950.700000047684	8694
sub-pp007	1.0	0.0	7239.700000047684	34856
sub-pp007	1.0	0.0	9411.299999952316	68451
sub-pp007	0.0	1.0	12648.5	86735
sub-pp007	0.0	1.0	13121.400000095367	65427
