participant_id	apm_corr	apm_incorr	apm_RT
sub-pp007	1.0	0.0	11895.400000095367
sub-pp007	1.0	0.0	19985.400000095367
sub-pp007	1.0	0.0	14205.700000047684
sub-pp007	1.0	0.0	14868.599999904633
sub-pp007	1.0	0.0	20304.29999995232
sub-pp007	0.0	1.0	49087.70000004768
sub-pp007	1.0	0.0	30026.5
sub-pp007	0.0	1.0	34989.700000047684
sub-pp007	0.0	1.0	61808.59999990463
sub-pp007	1.0	0.0	60164.09999990463
sub-pp007	0.0	1.0	33963.300000190735
sub-pp007	1.0	0.0	54900.89999985695
sub-pp007	1.0	0.0	88609.5
sub-pp007	0.0	1.0	57015.69999980927
sub-pp007	0.0	1.0	33810.5
sub-pp007	0.0	1.0	58866.59999990463
sub-pp007	1.0	0.0	83074.20000004768
sub-pp007	1.0	0.0	81610.5
sub-pp007	0.0	1.0	70521.40000009537
sub-pp007	1.0	0.0	54903.59999990463
sub-pp007	0.0	1.0	47795.0
sub-pp007	0.0	1.0	76293.0
sub-pp007	0.0	1.0	96396.10000014304
