participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp010	1.0	0.0	3524.0	97
sub-pp010	1.0	0.0	3814.0	63
sub-pp010	1.0	0.0	3468.0	582
sub-pp010	1.0	0.0	3326.0	694
sub-pp010	1.0	0.0	4710.0	7285
sub-pp010	1.0	0.0	5819.0	6439
sub-pp010	1.0	0.0	4970.0	42731
sub-pp010	1.0	0.0	5555.0	75836
sub-pp010	0.0	1.0	8237.0	39247
sub-pp010	1.0	0.0	7278.0	619473
sub-pp010	1.0	0.0	8238.0	4179386
sub-pp010	0.0	1.0	11287.0	6917248
sub-pp010	0.0	1.0	18578.0	38296184
sub-pp010	0.0	1.0	12031.0	58513247
