participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp010	1.0	0.0	4717.0
sub-pp010	1.0	0.0	1726.0
sub-pp010	1.0	0.0	2053.0
sub-pp010	1.0	0.0	1883.0
sub-pp010	1.0	0.0	1743.0
sub-pp010	1.0	0.0	2401.0
sub-pp010	1.0	0.0	3634.0
sub-pp010	1.0	0.0	2314.0
sub-pp010	1.0	0.0	1292.0
sub-pp010	1.0	0.0	1235.0
sub-pp010	1.0	0.0	1990.0
sub-pp010	1.0	0.0	1234.0
sub-pp010	1.0	0.0	1348.0
sub-pp010	0.0	1.0	1496.0
sub-pp010	1.0	0.0	6298.0
sub-pp010	0.0	1.0	5180.0
sub-pp010	0.0	1.0	7983.0
sub-pp010	1.0	0.0	6084.0
sub-pp010	1.0	0.0	5340.0
sub-pp010	1.0	0.0	1428.0
sub-pp010	1.0	0.0	1803.0
sub-pp010	0.0	1.0	5004.0
sub-pp010	1.0	0.0	7746.0
sub-pp010	1.0	0.0	4285.0
