participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp010	1.0	0.0	1.0	dominant1
sub-pp010	2.0	0.0	116.0	dominant1
sub-pp010	3.0	0.0	241.0	dominant1
sub-pp010	4.0	0.0	367.0	dominant1
sub-pp010	5.0	0.0	504.0	dominant1
sub-pp010	6.0	0.0	760.0	dominant1
sub-pp010	7.0	0.0	900.0	dominant1
sub-pp010	8.0	0.0	1028.0	dominant1
sub-pp010	9.0	0.0	1233.0	dominant1
sub-pp010	10.0	0.0	1333.0	dominant1
sub-pp010	11.0	0.0	1438.0	dominant1
sub-pp010	12.0	0.0	1585.0	dominant1
sub-pp010	13.0	0.0	1754.0	dominant1
sub-pp010	14.0	0.0	1848.0	dominant1
sub-pp010	15.0	0.0	1954.0	dominant1
sub-pp010	16.0	0.0	2094.0	dominant1
sub-pp010	17.0	0.0	2204.0	dominant1
sub-pp010	18.0	0.0	2358.0	dominant1
sub-pp010	19.0	0.0	2511.0	dominant1
sub-pp010	20.0	0.0	2608.0	dominant1
sub-pp010	21.0	0.0	2677.0	dominant1
sub-pp010	22.0	0.0	2773.0	dominant1
sub-pp010	23.0	0.0	2924.0	dominant1
sub-pp010	24.0	0.0	3089.0	dominant1
sub-pp010	25.0	0.0	3186.0	dominant1
sub-pp010	26.0	0.0	3344.0	dominant1
sub-pp010	27.0	0.0	3436.0	dominant1
sub-pp010	28.0	0.0	3519.0	dominant1
sub-pp010	29.0	0.0	3584.0	dominant1
sub-pp010	30.0	0.0	3673.0	dominant1
sub-pp010	31.0	0.0	3765.0	dominant1
sub-pp010	32.0	0.0	4018.0	dominant1
sub-pp010	33.0	0.0	4125.0	dominant1
sub-pp010	34.0	0.0	4274.0	dominant1
sub-pp010	35.0	0.0	4418.0	dominant1
sub-pp010	36.0	0.0	4543.0	dominant1
sub-pp010	37.0	0.0	4682.0	dominant1
sub-pp010	38.0	0.0	4825.0	dominant1
sub-pp010	39.0	0.0	4927.0	dominant1
sub-pp010	40.0	0.0	5017.0	dominant1
sub-pp010	41.0	0.0	5077.0	dominant1
sub-pp010	42.0	0.0	5175.0	dominant1
