amma_corr	participant_id	amma_response
1.0	sub-pp010	M
1.0	sub-pp010	I
1.0	sub-pp010	R
0.0	sub-pp010	I
1.0	sub-pp010	M
0.0	sub-pp010	M
1.0	sub-pp010	M
0.0	sub-pp010	I
1.0	sub-pp010	I
1.0	sub-pp010	R
1.0	sub-pp010	M
1.0	sub-pp010	M
1.0	sub-pp010	I
0.0	sub-pp010	I
0.0	sub-pp010	M
1.0	sub-pp010	M
1.0	sub-pp010	R
0.0	sub-pp010	M
1.0	sub-pp010	M
1.0	sub-pp010	I
1.0	sub-pp010	R
1.0	sub-pp010	I
0.0	sub-pp010	I
1.0	sub-pp010	I
0.0	sub-pp010	R
1.0	sub-pp010	R
1.0	sub-pp010	I
0.0	sub-pp010	I
1.0	sub-pp010	I
0.0	sub-pp010	I
