participant_id	digit-back_corr	digit-back_incorr	digit-back_RT	digit-back_response
sub-pp010	1.0	0.0	2537.0	13
sub-pp010	1.0	0.0	2559.0	42
sub-pp010	1.0	0.0	3617.0	64
sub-pp010	1.0	0.0	4228.0	75
sub-pp010	1.0	0.0	4661.0	926
sub-pp010	1.0	0.0	10828.0	574
sub-pp010	1.0	0.0	10416.0	9728
sub-pp010	1.0	0.0	8953.0	8694
sub-pp010	1.0	0.0	13467.0	34856
sub-pp010	1.0	0.0	11313.0	68451
sub-pp010	0.0	1.0	41906.0	847135
sub-pp010	1.0	0.0	24574.0	658427
sub-pp010	1.0	0.0	32995.0	2639418
sub-pp010	1.0	0.0	23374.0	8269374
sub-pp010	0.0	1.0	26656.0	8213749
sub-pp010	0.0	1.0	38585.0	346427
