participant_id	rtt-sum_corr	rtt-sum_incorr	rtt-sum_RT
sub-pp010	1.0	0.0	2964.0
sub-pp010	1.0	0.0	1637.0
sub-pp010	1.0	0.0	1463.0
sub-pp010	1.0	0.0	2210.0
sub-pp010	1.0	0.0	2422.0
sub-pp010	1.0	0.0	1715.0
sub-pp010	1.0	0.0	2142.0
sub-pp010	1.0	0.0	2293.0
sub-pp010	1.0	0.0	2233.0
sub-pp010	1.0	0.0	3970.0
sub-pp010	1.0	0.0	2080.0
sub-pp010	1.0	0.0	1671.0
sub-pp010	1.0	0.0	1444.0
sub-pp010	1.0	0.0	1298.0
sub-pp010	1.0	0.0	1436.0
sub-pp010	1.0	0.0	1827.0
sub-pp010	1.0	0.0	2329.0
sub-pp010	1.0	0.0	1270.0
sub-pp010	1.0	0.0	1819.0
sub-pp010	1.0	0.0	2916.0
sub-pp010	1.0	0.0	1807.0
sub-pp010	1.0	0.0	1722.0
sub-pp010	1.0	0.0	1910.0
sub-pp010	1.0	0.0	1541.0
sub-pp010	1.0	0.0	1400.0
sub-pp010	1.0	0.0	4770.0
sub-pp010	1.0	0.0	2098.0
sub-pp010	1.0	0.0	1871.0
sub-pp010	1.0	0.0	1642.0
sub-pp010	1.0	0.0	2356.0
sub-pp010	1.0	0.0	2034.0
sub-pp010	1.0	0.0	2260.0
sub-pp010	1.0	0.0	2611.0
sub-pp010	1.0	0.0	2354.0
sub-pp010	1.0	0.0	1969.0
sub-pp010	1.0	0.0	1716.0
sub-pp010	1.0	0.0	1760.0
sub-pp010	1.0	0.0	2518.0
sub-pp010	0.0	1.0	2431.0800000000017
